# Time-averaged data for fix myat1
# TimeStep v_nC
2000 188
2100 189
2200 189
2300 188
2400 188
2500 187
2600 189
2700 190
2800 189
2900 192
3000 191
3100 191
3200 191
3300 190
3400 191
3500 191
3600 191
3700 193
3800 193
3900 194
4000 195
4100 195
4200 195
4300 195
4400 195
4500 195
4600 196
4700 196
4800 196
4900 196
5000 198
5100 198
5200 199
5300 200
5400 199
5500 200
5600 201
5700 201
5800 202
5900 202
6000 202
6100 200
6200 198
6300 198
6400 198
6500 198
6600 197
6700 198
6800 198
6900 198
7000 198
7100 199
7200 200
7300 199
7400 200
7500 200
7600 200
7700 201
7800 201
7900 201
8000 201
8100 202
8200 202
8300 202
8400 202
8500 202
8600 202
8700 202
8800 202
8900 202
9000 203
9100 201
9200 200
9300 200
9400 200
9500 200
9600 200
9700 201
9800 201
9900 201
10000 201
10100 201
10200 204
10300 205
10400 205
10500 205
10600 205
10700 205
10800 205
10900 206
11000 207
11100 208
11200 208
11300 208
11400 208
11500 209
11600 210
11700 211
11800 211
11900 211
12000 210
12100 210
12200 210
12300 211
12400 211
12500 212
12600 211
12700 211
12800 211
12900 212
13000 212
13100 212
13200 213
13300 214
13400 214
13500 215
13600 215
13700 215
13800 214
13900 213
14000 213
14100 214
14200 214
14300 215
14400 215
14500 216
14600 216
14700 215
14800 215
14900 215
15000 215
15100 216
15200 218
15300 217
15400 217
15500 216
15600 216
15700 217
15800 216
15900 216
16000 216
16100 216
16200 216
16300 217
16400 218
16500 218
16600 218
16700 218
16800 218
16900 218
17000 218
17100 218
17200 218
17300 218
17400 218
17500 219
17600 219
17700 220
17800 219
17900 219
18000 219
18100 219
18200 219
18300 219
18400 219
18500 220
18600 219
18700 219
18800 219
18900 218
19000 218
19100 217
19200 217
19300 218
19400 219
19500 219
19600 220
19700 219
19800 220
19900 221
20000 222
20100 222
20200 222
20300 222
20400 222
20500 222
20600 222
20700 222
20800 223
20900 223
21000 223
21100 224
21200 224
21300 225
21400 225
21500 225
21600 225
21700 225
21800 225
21900 224
22000 224
22100 224
22200 225
22300 225
22400 224
22500 224
22600 224
22700 224
22800 223
22900 223
23000 223
23100 223
23200 224
23300 224
23400 224
23500 224
23600 224
23700 224
23800 224
23900 224
24000 223
24100 223
24200 222
24300 222
24400 222
24500 222
24600 223
24700 223
24800 224
24900 224
25000 224
25100 225
25200 225
25300 225
25400 225
25500 226
25600 226
25700 226
25800 227
25900 227
26000 227
26100 227
26200 227
26300 228
26400 228
26500 228
26600 228
26700 228
26800 228
26900 229
27000 229
27100 229
27200 229
27300 229
27400 228
27500 228
27600 228
27700 228
27800 228
27900 228
28000 228
28100 228
28200 228
28300 228
28400 229
28500 229
28600 228
28700 227
28800 227
28900 227
29000 227
29100 227
29200 227
29300 227
29400 227
29500 227
29600 228
29700 228
29800 227
29900 227
30000 228
30100 228
30200 228
30300 228
30400 228
30500 228
30600 228
30700 228
30800 227
30900 227
31000 227
31100 227
31200 227
31300 227
31400 228
31500 227
31600 227
31700 228
31800 229
31900 229
32000 229
32100 229
32200 229
32300 229
32400 229
32500 230
32600 230
32700 230
32800 230
32900 230
33000 230
33100 230
33200 230
33300 230
33400 230
33500 230
33600 230
33700 230
33800 230
33900 230
34000 230
34100 230
34200 230
34300 230
34400 230
34500 231
34600 231
34700 231
34800 231
34900 231
35000 231
35100 231
35200 231
35300 230
35400 230
35500 230
35600 231
35700 231
35800 231
35900 231
36000 231
36100 231
36200 231
36300 231
36400 231
36500 231
36600 231
36700 231
36800 231
36900 231
37000 231
37100 231
37200 231
37300 231
37400 231
37500 231
37600 231
37700 231
37800 231
37900 231
38000 231
38100 231
38200 231
38300 232
38400 232
38500 232
38600 232
38700 232
38800 232
38900 232
39000 232
39100 232
39200 232
39300 233
39400 233
39500 233
39600 233
39700 233
39800 233
39900 233
40000 233
40100 233
40200 233
40300 234
40400 234
40500 234
40600 234
40700 233
40800 233
40900 233
41000 233
41100 233
41200 233
41300 233
41400 233
41500 233
41600 233
41700 233
41800 233
41900 233
42000 233
42100 234
42200 234
42300 234
42400 233
42500 233
42600 233
42700 233
42800 233
42900 233
43000 233
43100 233
43200 233
43300 233
43400 232
43500 232
43600 232
43700 232
43800 233
43900 234
44000 234
44100 234
44200 234
44300 234
44400 235
44500 235
44600 235
44700 235
44800 235
44900 236
45000 236
45100 236
45200 236
45300 236
45400 236
45500 236
45600 236
45700 236
45800 236
45900 236
46000 236
46100 236
46200 236
46300 236
46400 236
46500 236
46600 237
46700 237
46800 237
46900 237
47000 237
47100 237
47200 237
47300 237
47400 237
47500 237
47600 237
47700 237
47800 237
47900 237
48000 237
48100 237
48200 237
48300 237
48400 237
48500 237
48600 237
48700 237
48800 237
48900 237
49000 237
49100 237
49200 236
49300 236
49400 236
49500 236
49600 236
49700 236
49800 236
49900 236
50000 236
50100 236
50200 236
50300 236
50400 236
50500 236
50600 236
50700 236
50800 236
50900 236
51000 236
51100 236
51200 236
51300 236
51400 236
51500 236
51600 236
51700 236
51800 236
51900 235
52000 235
52100 236
52200 236
52300 236
52400 236
52500 236
52600 236
52700 236
52800 236
52900 236
53000 236
53100 236
53200 236
53300 236
53400 236
53500 236
53600 236
53700 236
53800 235
53900 235
54000 235
54100 236
54200 236
54300 236
54400 235
54500 235
54600 235
54700 235
54800 235
54900 235
55000 235
55100 235
55200 235
55300 235
55400 235
55500 235
55600 234
55700 234
55800 232
55900 232
56000 232
56100 232
56200 232
56300 232
56400 232
56500 232
56600 232
56700 232
56800 233
56900 232
57000 232
57100 232
57200 232
57300 233
57400 233
57500 233
57600 233
57700 233
