# Time-averaged data for fix myat1
# TimeStep v_nO
2000 20
2100 15
2200 11
2300 12
2400 13
2500 14
2600 11
2700 13
2800 8
2900 7
3000 12
3100 12
3200 11
3300 11
3400 8
3500 8
3600 4
3700 4
3800 3
3900 4
4000 5
4100 5
4200 5
4300 7
4400 4
4500 5
4600 4
4700 3
4800 6
4900 3
5000 5
5100 6
5200 7
5300 7
5400 7
5500 6
5600 7
5700 6
5800 7
5900 8
6000 9
6100 11
6200 8
6300 8
6400 8
6500 5
6600 3
6700 7
6800 8
6900 8
7000 7
7100 6
7200 7
7300 5
7400 6
7500 7
7600 8
7700 7
7800 7
7900 6
8000 4
8100 7
8200 11
8300 14
8400 12
8500 14
8600 12
8700 14
8800 13
8900 8
9000 9
9100 9
9200 11
9300 11
9400 9
9500 8
9600 9
9700 10
9800 11
9900 10
10000 9
10100 10
10200 12
10300 11
10400 12
10500 9
10600 8
10700 8
10800 10
10900 12
11000 12
11100 14
11200 15
11300 14
11400 16
11500 14
11600 15
11700 15
11800 13
11900 10
12000 15
12100 17
12200 18
12300 15
12400 14
12500 13
12600 15
12700 16
12800 13
12900 8
13000 9
13100 6
13200 5
13300 8
13400 7
13500 7
13600 10
13700 11
13800 14
13900 13
14000 13
14100 12
14200 10
14300 9
14400 11
14500 10
14600 11
14700 12
14800 11
14900 10
15000 9
15100 10
15200 14
15300 9
15400 7
15500 6
15600 7
15700 7
15800 4
15900 4
16000 5
16100 7
16200 8
16300 7
16400 6
16500 3
16600 4
16700 3
16800 5
16900 8
17000 7
17100 6
17200 2
17300 3
17400 2
17500 3
17600 5
17700 8
17800 5
17900 4
18000 3
18100 6
18200 11
18300 6
18400 9
18500 12
18600 10
18700 9
18800 7
18900 8
19000 10
19100 10
19200 8
19300 11
19400 8
19500 5
19600 7
19700 9
19800 9
19900 10
20000 11
20100 11
20200 10
20300 12
20400 14
20500 13
20600 11
20700 10
20800 7
20900 4
21000 7
21100 6
21200 7
21300 8
21400 7
21500 5
21600 5
21700 7
21800 5
21900 6
22000 6
