# Time-averaged data for fix myat1
# TimeStep v_nO
2000 207
2100 213
2200 218
2300 222
2400 226
2500 235
2600 244
2700 248
2800 254
2900 257
3000 262
3100 266
3200 269
3300 274
3400 280
3500 282
3600 284
3700 287
3800 290
3900 292
4000 299
4100 302
4200 306
4300 312
4400 316
4500 319
4600 323
4700 324
4800 329
4900 333
5000 335
5100 339
5200 341
5300 343
5400 346
5500 348
5600 351
5700 354
5800 356
5900 357
6000 360
6100 362
6200 363
6300 369
6400 370
6500 372
6600 375
6700 380
6800 381
6900 385
7000 389
7100 394
7200 396
7300 398
7400 400
7500 403
7600 403
7700 405
7800 407
7900 407
8000 408
8100 409
8200 412
8300 412
8400 412
8500 415
8600 416
8700 416
8800 418
8900 423
9000 423
9100 427
9200 428
9300 429
9400 430
9500 433
9600 436
9700 437
9800 437
9900 438
10000 442
10100 444
10200 448
10300 448
10400 449
10500 451
10600 451
10700 451
10800 452
10900 454
11000 454
11100 455
11200 455
11300 456
11400 458
11500 459
11600 461
11700 461
11800 462
11900 462
12000 464
12100 464
12200 464
12300 464
12400 466
12500 466
12600 466
12700 467
12800 467
12900 468
13000 468
13100 468
13200 469
13300 469
13400 469
13500 469
13600 469
13700 469
13800 470
13900 473
14000 473
14100 473
14200 474
14300 474
14400 474
14500 474
14600 474
14700 474
14800 476
14900 476
15000 476
15100 476
15200 476
15300 476
15400 477
15500 477
15600 477
15700 478
15800 478
15900 478
16000 478
16100 478
16200 479
16300 479
16400 479
16500 479
16600 479
16700 479
16800 479
16900 479
17000 479
17100 479
17200 480
17300 481
17400 481
17500 481
17600 482
17700 484
17800 484
17900 485
18000 485
18100 485
18200 485
18300 485
18400 485
18500 485
18600 487
18700 487
18800 488
18900 488
19000 488
19100 489
19200 489
19300 489
19400 489
19500 489
19600 489
19700 489
19800 489
19900 489
20000 489
20100 489
20200 489
20300 490
20400 491
20500 491
20600 491
20700 492
20800 492
20900 492
21000 492
21100 492
21200 493
21300 493
21400 493
21500 494
21600 494
21700 494
21800 494
21900 494
22000 494
22100 494
22200 494
22300 495
22400 495
22500 495
22600 495
22700 496
22800 496
22900 496
23000 496
23100 496
23200 496
23300 496
23400 497
23500 497
23600 497
23700 497
23800 497
23900 497
24000 498
24100 498
24200 498
24300 498
24400 499
24500 500
24600 500
24700 500
24800 500
24900 500
25000 500
25100 500
25200 500
25300 500
25400 500
25500 500
25600 500
25700 500
25800 500
25900 500
26000 500
26100 500
26200 500
26300 500
26400 500
26500 500
26600 500
26700 500
26800 500
26900 500
27000 500
27100 500
27200 500
27300 500
27400 500
27500 500
27600 500
27700 500
27800 500
27900 500
28000 500
28100 500
28200 500
28300 500
28400 500
28500 500
28600 500
28700 500
28800 501
28900 501
29000 501
29100 501
29200 501
29300 501
29400 501
29500 501
29600 501
29700 502
29800 503
29900 503
30000 503
30100 503
30200 503
30300 503
30400 503
30500 503
30600 503
30700 503
30800 504
30900 504
31000 504
31100 504
31200 504
31300 504
31400 504
31500 504
31600 504
31700 504
31800 504
31900 504
32000 504
32100 504
32200 505
32300 505
32400 505
32500 505
32600 505
32700 505
32800 505
32900 507
33000 507
33100 507
33200 508
33300 508
33400 508
33500 508
33600 508
33700 508
33800 508
33900 508
34000 508
34100 508
34200 508
34300 508
34400 508
34500 508
34600 508
34700 508
34800 508
